old_path,parent_frame,unicode,next_frame,real_heisig
04-strokes/p329.3-staples.svg,,!!𠀉,1530,
09-strokes/p333-drum.svg,,壴,1552,
06-strokes/p334.1-silver.svg,,艮,1569,
05-strokes/p334.2-silver-left.svg,^,,1569,
06-strokes/p336-halo.svg,1578,~皀,1579,
05-strokes/p337-waitress.svg,,⺛,1593,
02-strokes/p339-sheaf.svg,,㐅,1600,
04-strokes/p340-earthworm.svg,,屯,1609,2189
09-strokes/p341.1-red_pepper.svg,,亲~TODO,1613,
13-strokes/p341.2-ketchup.svg,,辟,1616,
02-strokes/p342-cornucopia.svg,,丩,1626,
05-strokes/p343-rice_seedling.svg,,圥,1631,
05-strokes/p345.1-resin.svg,,朮~术,1643,
05-strokes/p345.2-celery.svg,,!!𠀎,1645,
13-strokes/p346-grass_skirt.svg,,㐮,1647,
04-strokes/p347-grow_up.svg,,!龶,1651,
04-strokes/p350.1-bushes.svg,,丰,1683,
04-strokes/p350.2-bushes-side.svg,^,,1683,
06-strokes/p351-christmas_tree.svg,,耒,1689,
05-strokes/p352.1-bonsai.svg,,𡗗,1690,
03-strokes/p352.2-cornstalk.svg,,!!𰀁,1695,
10-strokes/p353.1-cabbage.svg,,!!𦰌~堇,1698,
10-strokes/p353.2-scarecrow.svg,,𦰩,1701,
06-strokes/p354-silage.svg,,,1704,
06-strokes/p358-west.svg,1728,⻃,1729,
02-strokes/p363.1-key.svg,,ユ,1767,
04-strokes/p363.2-guillotine.svg,,夬,1770,
10-strokes/p364-locket.svg,,韋,1772,
03-strokes/p366-potato.svg,,于,1784,
08-strokes/p368-awl.svg,,㑒,1801,
05-strokes/p370-sickness.svg,,疒,1813,
02-strokes/p371.1-box.svg,,匚,1827,
02-strokes/p371.2-box-small.svg,^,,1827,
05-strokes/p373.1-teepee.svg,,癶,1838,
12-strokes/p373.2-pup_tent.svg,,尞,1842,
03-strokes/p374-shape.svg,,彡,1846,
02-strokes/p377-fenceposts.svg,,,1866,
04-strokes/p378-sparkler.svg,,,1871,
06-strokes/p379-apple.svg,1880,亦,1881,
04-strokes/p380-mosaic.svg,,巴,1889,2237
08-strokes/p382-bushel_basket.svg,,其,1899,
05-strokes/p383.1-purse.svg,,!!𠀐,1908,
06-strokes/p383.2-oaken_tub.svg,1912,,1913,
05-strokes/p384-shelf.svg,,且,1914,
05-strokes/p385.1-row-bottom.svg,,业,1925,
09-strokes/p385.2-in_a_row_upside_down.svg,,,1925,
10-strokes/p390-funnel.svg,,冓,1957,
05-strokes/p391-scrapbook.svg,,!!𠕁,1961,
05-strokes/p393.1-calling_card.svg,,氐,1973,
07-strokes/p393.2-dog_tag.svg,,甫,1978,
03-strokes/p394-city_walls-right.svg,,⻏,1984,
02-strokes/p396.1-drag.svg,,⺁!𠂆,1997,
02-strokes/p396.2-drag-bottom.svg,^,,1997,
05-strokes/p397.1-staple_gun.svg,2003,,2003,
01-strokes/p397.2-clothes_hanger.svg,,!!𠮛,2006,
07-strokes/p406-animal_tracks.svg,,釆,2057,
03-strokes/p407.1-lock_of_hair.svg,,乇,2065,
05-strokes/p407.2-tail_feathers.svg,,,2067,
04-strokes/p408.1-hairpin.svg,,,2069,
07-strokes/p408.2-hair.svg,2070,镸,2071,
05-strokes/p408.3-mane.svg,2070,,2071,
03-strokes/p409-owl.svg,,⺍,2077,
09-strokes/p412-migrating_ducks.svg,,爰,2099,
09-strokes/p413.1-talking_cricket.svg,2105,禺,2105,
06-strokes/p413.2-mountain_goat.svg,,屰,2109,
09-strokes/p414-condor.svg,,,2118,
07-strokes/p416-skunk.svg,,⾘,2123,
06-strokes/p419-tiger.svg,2145,⾌,2146,
07-strokes/p421-deer.svg,2154,,2155,
06-strokes/p423-golden_calf.svg,,关,2172,
